Concept_A	Concept_B	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
Knowledge_representation_and_reasoning	Computational_chemistry	3						3				3		
Graph_theory	Programming_language	3						3				3		
Computer_science	Automata_theory	2						2				1		
Compiler	Debugging	3						3				2		
Information_theory	Machine_learning	3						3				2		
Data_compression	Statistical_inference	3						1				3		
Algorithm	Artificial_intelligence	2						3				3		
Routing	Peer-to-peer	3						2				2		
Probability_theory	Cryptography	3						3				2		
Machine_learning	Natural_language_processing	2						3				2		
Multi-core_processor	Graphics_processing_unit	3						1				3		
Programming_language	Analysis_of_algorithms	1						2				3		
Array_data_structure	Amortized_analysis	3						3				2		
Object-oriented_programming	Lisp_(programming_language)	3						3				3		
Lexical_semantics	Syntax	3						3				1		
Operating_system	Remote_procedure_call	3						2				1		
Operating_system	Computer_architecture	3						1				3		
Lexical_analysis	Finite-state_machine	1						1				1		
Newton's_method	Numerical_analysis	1						1				2		
Estimation_theory	Probability	1						1				1		
Software_development	Data_structure	1						1				1		
Algebra	Probability_theory	3						3				2		
Programming_language	Procedural_programming	2						2				2		
Algorithm	String_searching_algorithm	2						2				1		
Sufficient_statistic	Statistical_inference	1						1				1		
Artificial_intelligence	Linked_list	3						3						3
Visualization_(computer_graphics)	Algorithm	1						3						3
Randomized_algorithm	Algorithm	1						1						1
Artificial_intelligence	Automated_theorem_proving	3						3						1
Computer_programming	Instruction_set	3						3						3
Programming_language	Generic_programming	2						2						1
Algorithm	Analysis_of_algorithms	2						2						1
Computational_complexity_theory	Information_theory	3						3						3
Synchronization	Mutual_exclusion	3						2						2
SIMD	Personal_computer	1						3						3
Machine_learning	Expert_system	3						3						2
Logic	Game_theory	2						3						2
Graph_(mathematics)	Combinatorial_optimization	3						3						3
Lazy_evaluation	Functional_programming	1						3						3
Human-computer_interaction	User_interface_design	2						2						2
Partial_differential_equation	Iterative_method	3						3						2
SQL	Programming_language	1						1						1
Statistics	Computer	3						3						3
Complex_systems	Synchronization	3						3						3
Hash_table	Python_(programming_language)	3						3						3
Cryptographic_hash_function	Digital_signature	1						3						2
Programmer	Computer_programming	1						1						2
Computational_geometry	Data_structure	1						3						3
Exponential_family	Data	1						3						3
Cryptographic_hash_function	Authentication	3						3						2
Hidden_line_removal	Algorithm	1						1						1
Hierarchy	Data_structure	3						3						1
Parsing	Computer_science	1						3						3
Index_(database)	Computational_complexity_theory	1						3						3
Syntax	Machine_translation	3						2						3
Theoretical_computer_science	Turing_machine	2						3						2
Data_mining	SQL	3						3						3
Interpolation	Mathematical_optimization	3						2						3
Polynomial	Numerical_analysis	2						1						3
Array_data_structure	C++	3						3						3
Complexity	Theoretical_computer_science	3						3						1
Database_system	Database	3						1						1
Poisson_distribution	Random_variable	1						1						1
Malware	Encryption	3						3						3
NP-complete	Graph_coloring	2						3						2
Computational_complexity_theory	Combinatorics	3						3						1
Logic_programming	Object-oriented_programming	3						3						3
MapReduce	Parallel_computing	1						1						1
Graph_theory	Algorithm_design	3						3						1
Malware	Information_security	3						1						1
Artificial_intelligence	Question_answering	2						2						2
Java_(programming_language)	Debugging	3						3						3
Debugging	Exception_handling	3						3						3
Virtual_memory	Graphical_user_interface	3						3						3
Bioinformatics	String_(computer_science)	3						3						3
String_(computer_science)	Object_(computer_science)	3						3						1
Malware	Network_security	3						1						3
Sequence_alignment	NP-complete	3						3						1
Mathematical_optimization	Algorithm	1						3						1
Data_structure	Exception_handling	3						3						3
Message_Passing_Interface	Distributed_computing	3						2						1
Abstraction_(computer_science)	Control_flow	3						3						3
Functional_programming	Programming_language	1						2						1
Numerical_analysis	Integral	1						2						3
Distributed_computing	Computational_geometry	3						3						3
Application_programming_interface	Compiler	3						3						3
Central_processing_unit	Multi-core_processor	2						2						2
Probability	Reason	3						3						3
Predicate_logic	Formal_language	3						3						1
Ordinary_differential_equation	Nonlinear_system	1						1						1
Lazy_evaluation	Input/output	3						3						3
C_(programming_language)	Compiler	3						3						3
Application_programming_interface	Programming_language	1						1						3
Computer_graphics	Parallel_computing	3						3						3
Database_design	Database_normalization	2						2						3
Newton's_method	Dynamic_programming	3						3						3
Functional_programming	Compiler	3						3						3
Conceptual_model	Mathematical_model	3						2						2
Foundations_of_mathematics	Functional_programming	3						3						3
Computer_architecture	Processor_register	2						2						2
Lexical_analysis	Computer_science	1						1						1
Control_flow	Python_(programming_language)	3						3						3
Computer_science	Parallel_computing	2						2						2
Computer_science	Theoretical_computer_science	2						2						2
Formal_grammar	String_(computer_science)	1						1						2
Cryptography	Combinatorics	3						3						1
Input/output	Operating_system	3						3						3
Computer_vision	Edge_detection	1						2						2
Algebra	Algorithm	3						2						3
Functional_programming	Data_structure	3						1						3
Linear_programming	Computational_geometry	3						3						3
Statistical_hypothesis_testing	Probability	1						1						1
Numerical_analysis	Computational_science	3						2						1
Finite_difference	Boundary_value_problem	1						3						1
Logic	Programming_language	2						2						2
Mathematical_model	Mathematical_optimization	3						3						2
Recommender_system	Machine_learning	1						1						1
Number_theory	Programming_language	3						3						3
Programming_language	Hash_table	3						2						3
PSPACE	Computational_complexity_theory	1						1						1
Programming_paradigm	ML_(programming_language)	2						3						3
Dynamic_programming	Flow_network	3						3						3
Database	Database_normalization	2						2						2
Object-oriented_programming	Interface_(computing)	3						2						3
Lisp_(programming_language)	Prolog	3						3						1
Analysis_of_algorithms	Mathematical_induction	1						3						1
Scientific_visualization	Computer_graphics	1						1						1
Semantic_Web	Artificial_intelligence	3						3						1
Statistics	Interpolation	3						3						2
Denotational_semantics	Functional_programming	3						3						1
Information_assurance	Privacy	1						3						2
Assembly_language	Memory_hierarchy	3						3						1
Concurrency_(computer_science)	Graph_theory	3						3						3
Modular_programming	C_(programming_language)	3						3						2
Garbage_collection_(computer_science)	Computer_science	1						1						1
Prolog	Logic_programming	1						1						1
Operating_system	Distributed_computing	3						2						2
Mathematics	Graph_theory	2						2						2
Regular_language	Context-free_language	1						3						3
Turing_machine	Computer_science	1						1						1
Algorithm	Probability_theory	3						1						3
Scheduling_(computing)	Computer_architecture	3						3						1
Statistics	Probability	1						2						2
Mathematical_optimization	Eigenvalues_and_eigenvectors	3						3						3
Concurrency_control	Computer_multitasking	2						2						2
Expert_system	Prolog	1						3						2
Data	Machine_learning	2						2						3
Virtual_memory	Computing	1						1						3
Algorithm	Decidability_(logic)	1						3						2
Computability	Turing_machine	1						2						2
Computational_geometry	Number_theory	3						3						1
Architecture	Computer_science	3						3						3
Java_(programming_language)	Functional_programming	3						3						1
Knowledge	Robotics	3						3						3
Garbage_collection_(computer_science)	Assembly_language	3						3						3
XML	World_Wide_Web	3						1						3
Time_complexity	Recursion_(computer_science)	3						3						3
Computer_programming	Computer	1						1						1
Graphics	Shading	2						2						2
Time_complexity	Computational_complexity_theory	1						1						1
Logic	Mathematics	3						2						1
Input/output	Computer_programming	3						2						3
Compiler	Compiler_optimization	2						2						2
Recursion	Computer_science	3						3						1
Shortest_path_problem	Flow_network	3						3						3
Pushdown_automaton	String_(computer_science)	1						1						3
Internet_Protocol_Suite	Computer_network	1						1						1
Inequality_(mathematics)	Mathematics	1						1						1
Computer_graphics	Motion_capture	2						2						3
Algorithm	String_(computer_science)	3						3						3
Syntax	Assembly_language	3						3						3
Natural_language	Problem_solving	3						3						1
Data_mining	Computer_science	1						1						1
Knowledge_representation_and_reasoning	Algorithm	1						1						1
Internet	Telecommunications_network	1						1						1
Server_(computing)	Computer	1						1						1
Graph_theory	Combinatorics	3						1						3
Automated_theorem_proving	Mathematical_proof	1						1						1
Model_of_computation	Computer_science	1						1						1
Visualization_(computer_graphics)	Data_structure	1						3						3
High-level_programming_language	Computer_architecture	3						3						3
Parallel_computing	Multi-core_processor	2						1						2
Computational_complexity_theory	Computer_vision	2						3						3
Parsing	Number_theory	3						3						3
Specification_(technical_standard)	Software_development	3						3						3
Computer_graphics	Microprocessor	3						3						3
Distributed_computing	Graph_theory	3						1						3
Compiler	Programming_language	1						1						2
Computational_chemistry	Analysis_of_algorithms	1						3						3
Application_programming_interface	Computer_programming	1						1						1
Parallel_algorithm	Numerical_analysis	3						3						3
Programming_paradigm	Algorithm	3						3						3
Computer_network	Network_security	2						2						2
Natural_language_processing	Algorithm_design	1						3						1
Query_optimization	NoSQL	3						3						3
Predicate_logic	Foundations_of_mathematics	1						3						1
Computer_programming	Arithmetic	1						3						1
Computability	Pushdown_automaton	2						3						2
Natural_language_processing	Computational_geometry	3						3						3
Lisp_(programming_language)	Logic_programming	1						3						1
Knowledge_representation_and_reasoning	Prolog	3						3						2
Shortest_path_problem	Computational_geometry	3						3						3
Transaction_processing	Relational_database	3						3						3
Artificial_intelligence	Combinatorics	3						3						3
Discrete_mathematics	Eigenvalues_and_eigenvectors	3						3						3
Algorithm	Data_structure	3						1						3
Database	Computer_programming	1						3						3
Object-oriented_programming	Modular_programming	3						3						3
Application_programming_interface	Data_structure	1						3						3
System_programming	Computer_programming	1						1						1
Bayesian_network	Conditional_probability	1						1						1
Mathematics	Statistical_inference	2						2						2
Mathematical_model	Computer_science	3						2						2
OSI_model	Computer_file	3						3						3
Software_testing	String_(computer_science)	3						3						3
Cryptography	Modular_arithmetic	1						3						1
Integrated_circuit	Graphics_processing_unit	3						3						2
Computational_complexity_theory	Theory_of_computation	1						1						1
Computer	Security	3						3						3
Iterative_method	Numerical_analysis	1						1						1
High-level_programming_language	C_(programming_language)	3						3						2
Java_(programming_language)	Programming_language	1						1						1
Computational_complexity_theory	Graph_(mathematics)	3						3						3
Privacy	Cryptography	2						3						1
Haskell_(programming_language)	String_(computer_science)	3						3						3
Control_flow	Exception_handling	3						2						3
Operating_system	Unix	2				2					2			
Index_(database)	Database_normalization	3				3					4			
Object-oriented_programming	Higher-order_function	3				3					3			
Number_theory	Algorithm	3				3					3			
Algorithm	Formal_language	3				1					3			
Database	Data_structure	1				2					1			
Graph_(mathematics)	Mathematics	1				1					1			
Computational_geometry	Analysis_of_algorithms	1				1					3			
Relational_database	Query_language	1				2					2			
Computer_programming	Memory_hierarchy	3				1					3			
Modular_arithmetic	Computer_science	3				3					3			
Web_server	Unix	3				1					3			
HTML	Object-oriented_programming	3				3					3			
Embedded_system	Compiler	3				1					3			
Combinatorics	Formal_language	3				3					3			
Complexity	Computational_complexity_theory	2				2					2			
Computer_graphics	Data	1				1					3			
Malware	Computer_network	3				1					1			
Compiler	Lexical_analysis	1				2					2			
Database	Relational_model	2				2					2			
Abstraction_(computer_science)	Java_(programming_language)	3				2					2			
Software_testing	Computer_programming	1				1					3			
Parallel_computing	Computer_programming	1				1					1			
Logic	Graph_theory	3				3					4			
Computer_vision	Computational_geometry	3				1					3			
Firewall_(computing)	Vulnerability_(computing)	1				1					1			
Computational_science	Artificial_intelligence	2				2					2			
Recursion_(computer_science)	Programming_language	3				1					1			
Approximation_algorithm	Linear_programming	3				2					4			
Robotics	Analysis_of_algorithms	1				1					3			
Turing_machine	Automata_theory	1				1					3			
Algorithm	Mathematical_optimization	3				2					3			
Data	Object-oriented_programming	3				2					3			
Automata_theory	Computer_programming	3				2					3			
Modular_programming	Python_(programming_language)	3				2					3			
Robotics	Graph_theory	3				3					3			
Imperative_programming	Variable_(computer_science)	1				1					2			
Economics	Mathematical_optimization	1				1					3			
Mathematical_model	Mathematics	1				1					1			
Syntax	Graph_theory	3				3					3			
Application_programming_interface	Python_(programming_language)	3				3					3			
Thread_(computer_science)	Lock_(computer_science)	2				1					2			
Combinatorics	Programming_language	3				3					4			
Probability_theory	Mathematics	1				1					1			
Query_optimization	SQL	1				1					1			
Assembly_language	Stack_(data_structure)	3				3					1			
Integer	Parallel_computing	2				2					3			
Compiler	Operating_system	3				1					3			
Artificial_intelligence	Computational_geometry	3				1					3			
Control_flow	Programming_language	1				1					1			
NP-complete	Modular_arithmetic	3				3					4			
Pattern_matching	ML_(programming_language)	3				2					2			
Decision_theory	Algorithm	1				1					3			
Programmer	Programming_language	1				1					3			
Computing	Computer_programming	2				2					2			
Parsing	Compiler	2				2					1			
Multiplication	Mathematics	1				2					1			
Computer_programming	Parallel_computing	2				2					2			
Machine_learning	Speech_recognition	2				2					3			
Concurrency_control	Computational_complexity_theory	3				3					3			
Computability	Automata_theory	1				2					2			
Graph_theory	Combinatorial_optimization	3				3					4			
Genetic_algorithm	Computer_science	1				1					1			
Pushdown_automaton	Computer_science	1				1					1			
Machine_learning	Expected_value	1				1					4			
Unix	Computer_architecture	3				1					3			
Finite-state_machine	Software_engineering	3				2					3			
Message_Passing_Interface	Inter-process_communication	1				1					3			
Mathematics	Integer	2				1					2			
Java_(programming_language)	C++	3				3					3			
Automatic_programming	Java_(programming_language)	3				1					3			
Graphics_processing_unit	Multi-core_processor	3				1					3			
Robotics	Computational_geometry	3				1					3			
Polymorphism_(computer_science)	Abstract_data_type	1				1					2			
C++	Operating_system	3				1					3			
Predicate_logic	Propositional_calculus	1				2					2			
Approximation_algorithm	Mathematical_optimization	1				1					4			
Polynomial	Integer	1				1					3			
Algorithm	Model_checking	2				3					2			
Inference	Statistical_inference	2				2					2			
Computer	Digital_electronics	1				1					1			
Integer	Arithmetic	2				2					1			
HTML	Computer	1				1					3			
Communications_protocol	Operating_system	3				1					3			
Relational_model	Data_type	1				1					1			
Logic_programming	Generic_programming	3				3					3			
Data_structure	Modular_programming	3				2					4			
Software_engineering	Profiling_(computer_programming)	2				2					2			
Functional_programming	Halting_problem	3				1					3			
Finite_difference	Differential_equation	3				2					4			
Algorithm	Number_theory	3				2					4			
Dynamic_memory_allocation	Array_data_structure	3				1					1			
C_(programming_language)	Graphical_user_interface	3				3					3			
C_(programming_language)	Modular_programming	3				1					3			
Parallel_algorithm	Parallel_computing	1				1					1			
Personal_computer	Computer	1				1					1			
Graph_(mathematics)	Finite_set	3				2					4			
Database	Number_theory	3				3					3			
C++	Java_(programming_language)	3				3					3			
Computer_graphics	Geometry	1				1					3			
Hash_table	Data_structure	1				1					1			
Deadlock	Parallel_computing	3				2					1			
Software_testing	Software_development	1				1					1			
Internet	World_Wide_Web	2				2					2			
Discrete_mathematics	Algebra	1				3					1			
Python_(programming_language)	Java_(programming_language)	3				1					3			
Computer	Computer_security	2				2					2			
Parsing	Computational_complexity_theory	1				3					3			
Ordinary_differential_equation	Numerical_analysis	1				1					4			
Computer_vision	Computer_science	1				1					1			
Programming_paradigm	Object-oriented_programming	2				2					2			
Mathematical_optimization	Conjugate_gradient_method	2				2					4			
Statistics	Graph_theory	3				2					4			
Lisp_(programming_language)	Functional_programming	1				1					2			
Finite_difference	Ordinary_differential_equation	3				1					4			
Numerical_analysis	Number_theory	3				3					1			
Abstract_data_type	Integer	1				1					3			
Turing_machine	Pushdown_automaton	2				2					3			
Bayesian_probability	Statistical_hypothesis_testing	2				1					4			
Computer_architecture	Computer_science	1				1					1			
Arithmetic	Imperative_programming	3				2					3			
Formal_language	Finite_set	3				1					3			
Thread_(computer_science)	Computer_multitasking	2				2					1			
Game_theory	Mathematical_optimization	3				1					1			
Parallel_computing	Imperative_programming	3				1					3			
Operating_system	Personal_computer	3				2					3			
Discrete_mathematics	Linear_system	3				3					4			
Computer_vision	Graphical_model	3				1					4			
Computational_complexity_theory	Cryptography	2				2					2			
Pushdown_automaton	Automata_theory	1				1					1			
NP-hard	NP-complete	3				2					2			
Numerical_analysis	Interpolation	2				3					4			
Hash_table	Array_data_structure	3				1					3			
Eigenvalues_and_eigenvectors	Linear_system	3				1					4			
Poisson_distribution	Probability_theory	1				1					1			
String_(computer_science)	Thread_(computer_science)	3				3					3			
Query_optimization	Database	1				1					1			
Algorithm	Time_complexity	2				2					2			
Central_processing_unit	Assembly_language	3				2					3			
Transaction_processing	Computer_science	1				1					1			
JavaScript	World_Wide_Web	3				1					1			
Computer_graphics	Algorithm	1				1					3			
Computability	Theory_of_computation	1				2					2			
Mathematical_optimization	Discrete_mathematics	3				3					3			
Concurrency_control	Index_(database)	3				2					2			
Database	Graph_theory	3				3					3			
Mathematical_optimization	Probability_theory	3				1					3			
Physics	Fourier_analysis	3				2					3			
Reason	Artificial_intelligence	3				1					4			
Numerical_analysis	Graph_theory	3				3					3			
Database	Entity-relationship_model	1				2					3			
Computability	Regular_language	3				2					3			
Combinatorics	Computational_geometry	3				3					3			
Java_(programming_language)	Object-oriented_programming	1				1					1			
Machine_learning	Pattern_recognition	2				2					1			
System_programming	Operating_system	1				1					1			
Discretization	Numerical_analysis	1				2					4			
Theoretical_computer_science	Mathematics	1				1					1			
Python_(programming_language)	Graphical_user_interface	3				1					3			
Programming_language	Inheritance_(object-oriented_programming)	2				2					2			
Database_management_system	Combinatorics	3				3					3			
Server_(computing)	Graphical_user_interface	3				2					3			
Programming_language	Formal_language	3				1					2			
Mathematical_proof	Formal_language	3				2					1			
Artificial_intelligence	Programming_language	1				1					3			
Algorithm_design	Mathematics	1				1					1			
Mathematical_induction	Computer_science	3				2					1			
Data_mining	Programming_language	1				1					3			
Data_structure	C++	3				2					2			
Computer_network	Database	3				1					3			
Security	Privacy	1				2					2			
Operating_system	Deadlock	1				2					2			
NP_(complexity)	NP-complete	2				2					2			
Data_mining	Functional_programming	3				3					3			
Graphical_user_interface	Java_(programming_language)	3				2					3			
Computer_programming	Scope_(computer_science)	2				1					2			
Parallel_computing	Computational_complexity_theory	3				1					3			
Computational_chemistry	Computational_geometry	3				3					3			
Programming_language	Memory_hierarchy	3				1					3			
Analysis_of_algorithms	Object-oriented_programming	3				2					3			
String_searching_algorithm	Computer_science	1				1					1			
Shared_memory	Inter-process_communication	2				2					2			
Finite_element_method	Polynomial	1				1					4			
Imperative_programming	Computer	1				1					3			
Information_theory	Random_variable	1				1					3			
Multi-core_processor	Vector_processor	3				1					1			
Algebra	Python_(programming_language)	3				2					3			
Fast_Fourier_transform	Graph_(mathematics)	3				3					3			
Bioinformatics	Artificial_intelligence	3				3					3			
Computer_science	Turing_machine	1				1					2			
NP_(complexity)	Formal_language	3				3					3			
High-level_programming_language	Data_structure	3				1					3			
Probability	Probability_theory	2				2					2			
Linear_programming	Mathematical_optimization	1				1					4			
Graph_theory	Computational_science	3				1					1			
Numerical_analysis	Discretization	2				1					4			
Logic	Algorithm	3				2					3			
Analysis_of_algorithms	Introduction_to_Algorithms	1				1					1			
String_(computer_science)	Analysis_of_algorithms	3				2					3			
Bayesian_network	Random_variable	1				1					3			
Functional_programming	Software_engineering	3				2					3			
Information_theory	Statistical_inference	1				2					4			
Structured_programming	Automatic_programming	3				2					4			
Relational_model	Object_(computer_science)	3				1					1			
Randomness	Randomization	2				2					1			
Visualization_(computer_graphics)	Object-oriented_programming	3				1					3			
Database_management_system	Graph_theory	3				3					3			
Human-computer_interaction	Interface_(computing)	1				1					1			
Computing	World_Wide_Web	3				2					3			
Semantics	C_(programming_language)	3				2					3			
Pushdown_automaton	Theory_of_computation	1				1					1			
Operating_system	Assembly_language	3				1					3			
Approximation_algorithm	Combinatorial_optimization	1				2					4			
Computer_vision	Artificial_intelligence	1				1					3			
Semantics	Reason	3				1					2			
Motion_planning	Robotics	1				1					1			
Computer_science	Procedural_programming	2				2					2			
Cryptography	Authentication	1				2					1			
Scalability	Software_design	3				1					1			
Determinism	Probability	3				1					3			
Assembly_language	Structured_programming	3				2					4			
Communications_protocol	Cryptography	3				2					1			
Concurrency_(computer_science)	Software_design	3				2					2			
Database_transaction	Graph_theory	3				3					3			
Virtual_memory	Memory_hierarchy	1				1					1			
Machine_learning	Mathematical_optimization	1				1					3			
Theoretical_computer_science	Automaton	3				2					2			
Combinatorics	Probability_theory	3				1					3			
Structured_programming	Compiler	3				1					3			
Control_flow	Recursion	3				2					2			
Thread_(computer_science)	Application_programming_interface	3				2					3			
Modular_programming	Data_structure	3				1					3			
Computer_science	Algorithm_design	2				2					2			
Propositional_calculus	Formal_language	3				1					3			
Concurrency_(computer_science)	Computability	3				1					3			
Programming_paradigm	Computer_architecture	3				1					3			
Personal_computer	Compiler	3				1					3			
Computer_architecture	C++	3				2					3			
Eigenvalues_and_eigenvectors	Floating_point	3				3					4			
Distributed_computing	Concurrent_computing	3				1					3			
Artificial_intelligence	Unsupervised_learning	2				2					2			
Quantum_computer	Computational_complexity_theory	1				1					1			
Graph_theory	Spanning_tree	2				2					3			
Digital_signature	Algorithm	1				1					1			
Algorithm	Functional_programming	3				2					3			
Computer	Concurrent_computing	2				2					3			
Assembly_language	Instruction_set	1				1					1			
Design_of_experiments	Random_variable	3				3					1			
Programming_paradigm	C++	3				2					3			
CPU_cache	Instruction_set	3				3					3			
Lexical_semantics	PageRank	3				3					4			
Knowledge_representation_and_reasoning	Computer_science	1				1					1			
Finite-state_machine	Logic	1				1					3			
Amortized_analysis	Computer_science	1				1					1			
Artificial_intelligence	Procedural_programming	3				1					3			
Computer_science	Dynamic_programming	3				2					2			
Monad_(functional_programming)	Input/output	3				1					1			
Virtual_reality	Computer_graphics	1				1					1			
Sequence_alignment	Probability	1				1					3			
Algebra	Computer_programming	3				2					3			
Data_structure	Randomized_algorithm	3				2					3			
Computer_science	Control_flow	2				2					2			
Architecture	Computer_network	3				2					3			
Perl	Python_(programming_language)	3				3					3			
Index_(database)	Concurrency_control	3				1					3			
OSI_model	C++	3				3					3			
Control_flow	Debugging	3				2					2			
Robotics	Artificial_intelligence	1				1					1			
Cryptography	Computational_complexity_theory	1				1					1			
Firewall_(computing)	Email	3				2					3			
Inference	Programming_language	3				3					1			
Database	Array_data_structure	3				1					3			
Index_(database)	Relational_database	1				2					1			
Natural_language	Programming_language	3				2					2			
SQL	Software_design	3				1					3			
Cryptography	Electronic_commerce	3				3					3			
Communication	Logic	3				1					3			
Computer_security	Central_processing_unit	3				1					3			
Graph_theory	Graph_coloring	2				2					2			
Number_theory	Logic_programming	3				3					3			
Computability	Computer_science	1				1					1			
Knowledge_representation_and_reasoning	Functional_programming	3				3					3			
Artificial_intelligence	Software_engineering	3				1					3			
Control_flow	Modular_programming	3				2					3			
Parsing	Formal_language	3				1					3			
Formal_verification	Computer_science	1				1					1			
Numerical_analysis	Artificial_intelligence	3				2					3			
Graph_theory	Algebra	3				1					3			
Statistical_inference	Machine_learning	2				2					3			
Computational_complexity_theory	First-order_logic	3				2					4			
Inheritance_(object-oriented_programming)	Programming_language	1				1					1			
Data_structure	Number_theory	3				3					3			
Machine_learning	Numerical_analysis	3				1					3			
Prolog	Programming_language	1				1					1			
NP-complete	Graph_theory	3				2					3			
Algorithm	Divide_and_conquer_algorithm	2				2					2			
Linear	Interpolation	3				2					3			
High-level_programming_language	Compiler	3				1					3			
Pattern_matching	Prolog	3				2					2			
Lazy_evaluation	C++	3				2					3			
Computer_file	Operating_system	3				1					3			
Computer_graphics	Graphics	1				1					1			
Systems_biology	Nonlinear_system	3				1					4			
Distributed_computing	Computational_complexity_theory	1				1					3			
Lexical_analysis	Regular_language	1				1					1			
Combinatorics	Cryptography	3				2					3			
Computation	Algorithm	2				2					2			
Expert_system	Procedural_programming	3				1					4			
Abstraction_(computer_science)	Assembly_language	3				2					3			
Computer_network	Computer_multitasking	3				1					3			
Public-key_cryptography	Discrete_mathematics	1				1					1			
Concurrency_control	Database	1				2					3			
Dynamic_programming	String_(computer_science)	3				1					3			
Robotics	Numerical_analysis	3				1					3			
Software_engineering	Computational_complexity_theory	1				1					3			
Design_of_experiments	Statistical_hypothesis_testing	1				2					1			
Wireless_sensor_network	Operating_system	3				1					3			
Web_server	Operating_system	1				1					3			
Mathematics	Python_(programming_language)	3				2					3			
Software_engineering	Algorithm	1				1					1			
Hash_table	Best,_worst_and_average_case	1				1					1			
Machine_learning	Computer_science	1				1					1			
CPU_cache	Parallel_computing	3				2					2			
Computer_network	Virtual_memory	3				1					3			
Software_development	Computer_programming	1				1					2			
Partial_differential_equation	Differential_equation	1				1					4			
Imperative_programming	Higher-order_function	3				1					1			
Mathematical_optimization	Linear_programming	2				2					3			
Software_engineering	Theory_of_computation	1				1					1			
Machine_learning	Probability_theory	1				1					3			
Firewall_(computing)	Information_assurance	3				1					1			
Discrete_mathematics	Algorithm	3				1					2			
Congestion_control	Computer_network	1				1					3			
Concurrency_control	File_system	3				2					3			
Robotics	Kinematics	1				1					4			
Query_optimization	Relational_algebra	3				1					4			
String_(computer_science)	Formal_language	2				2					3			
Programming_language	Computational_chemistry	2				2					3			
Compiler	Parallel_computing	3				2					3			
Scheduling_(computing)	Computing	1				1					1			
Aerospace	Speech_recognition	3				3					3			
Boundary_value_problem	Partial_differential_equation	1				1					4			
Graph_theory	Flow_network	2				2					3			
Computer_graphics	Personal_computer	1				1					3			
Statistics	Randomness	1				1					2			
Algorithm	Abstraction_(computer_science)	3				1					1			
Computer_science	Algorithm	3				2					2			
Macro_(computer_science)	Algorithm	3				1					3			
Computer_graphics	Shading	2				2					3			
Parabola	Polynomial	1				2					4			
Concurrency_control	Relational_database	2				2					3			
Relational_database	Database_normalization	2				2					4			
Partial_differential_equation	Ordinary_differential_equation	2				1					4			
String_searching_algorithm	Finite-state_machine	3				1					3			
Algorithm	Combinatorial_optimization	2				2					2			
Operating_system	Input/output	1				1					2			
Computer_programming	Computational_complexity_theory	1				1					4			
Natural_language_processing	Prolog	3				2					3			
Artificial_intelligence	Computational_complexity_theory	1				1					1			
Programming_language	Thread_(computer_science)	3				1					2			
Model_checking	Algorithm	1				1					1			
Computer_science	Software_engineering	2				2					2			
Combinatorics	Computer_programming	3				2					3			
Pattern_matching	String_(computer_science)	1				1					1			
Public-key_cryptography	Algorithm	1				1					1			
Compiler	Parsing	1				1					2			
Functional_programming	Python_(programming_language)	3				2					3			
Discretization	Integral	3				1					4			
Operating_system	Database	3				2					3			
Quantum_cryptography	Public-key_cryptography	3				1					3			
Algorithm	Genetic_algorithm	2				2					3			
Automaton	Automata_theory	1				2					2			
Statistics	Statistical_hypothesis_testing	2				2					2			
Semantics	Syntax	3				1					1			
Computer	Algorithm	3				2					3			
Simulation	Robotics	3				2					4			
Natural_language_processing	Artificial_intelligence	1				1					4			
Database	NoSQL	2				2					1			
Index_(database)	Relational_model	3				2					4			
Internet	Computer_network	1				1					1			
Functional_programming	Recursion_(computer_science)	3				1					1			
Distributed_computing	Computer_multitasking	3				1					4			
NP_(complexity)	Computational_complexity_theory	1				1					1			
Distributed_computing	Graph_(mathematics)	3				1					3			
Natural_language_processing	Graph_theory	1				1					3			
Authentication	Digital_signature	2				2					2			
Software_development	Software_engineering	1				1					2			
Data_structure	Computational_geometry	2				2					3			
Imperative_programming	Computer_science	1				1					1			
Computing	Hash_table	2				2					4			
Central_processing_unit	Instruction_set	2				2					2			
Statistics	Data	1				1					1			
Analysis_of_algorithms	Computation	1				1					1			
Data_structure	Compiler	2				2					3			
Mathematical_optimization	Random_variable	1				1					4			
Message_Passing_Interface	Synchronization	1				1					3			
Information_theory	Data_mining	3				2					4			
Control_flow	Computer	1				1					3			
Artificial_intelligence	Computer_programming	1				1					3			
Randomized_algorithm	Graph_theory	3				2					3			
Internet	Communications_protocol	1				2					2			
Lisp_(programming_language)	Data_structure	3				1					3			
Software_testing	Programming_language	1				1					3			
Geometry	Mathematical_optimization	3				3					3			
Variable_(computer_science)	Python_(programming_language)	2				2					1			
Haskell_(programming_language)	Modular_programming	3				1					4			
Query_optimization	Relational_database	1				1					1			
Internet	OSI_model	1				2					1			
Turing_machine	Theory_of_computation	1				2					1			
Microcode	Assembly_language	1				1					4			
Programming_language	Data_type	1				1					2			
Discrete_mathematics	Game_theory	3				2					3			
Index_(database)	Computer_programming	1				1					3			
Parallel_computing	Lock_(computer_science)	1				1					1			
String_(computer_science)	Java_(programming_language)	3				2					3			
Artificial_intelligence	Formal_grammar	3				1					3			
Formal_language	Computer_science	1				1					1			
Python_(programming_language)	Operating_system	3				1					3			
